album,album_type,track_number,id_track,name,popularity,explicit,duration_ms,release_date,artists
Versions of Me,album,1,3FkeNbs9Zeiqkr3WkbOiGp,Envolver,79,False,193805,2022-04-12,['Anitta']
Versions of Me,album,2,3SWjpNMVUi5UXz096NbfPr,Gata (feat. Chencho Corleone),74,False,206277,2022-04-12,"['Anitta', 'Chencho Corleone']"
Versions of Me,album,3,5JKvoSM8KY9Cski1UvGcpa,I'd Rather Have Sex,64,False,173255,2022-04-12,['Anitta']
Versions of Me,album,4,76NZFxqS6b0xsd16e0LIfF,Gimme Your Number,60,False,157098,2022-04-12,"['Anitta', 'Ty Dolla $ign']"
Versions of Me,album,5,2OU6RxOSA8n7nDpg3gF3aX,Maria Elegante (feat. Afro B),59,False,186476,2022-04-12,"['Anitta', 'Afro B']"
Versions of Me,album,6,05bzJIGgdNTEOvt6bBJAej,Love You,58,False,182512,2022-04-12,['Anitta']
Versions of Me,album,7,5tQj2mfKL21L9mQ643z5zw,Boys Don't Cry,64,False,136011,2022-04-12,['Anitta']
Versions of Me,album,8,2nkuIfizGlr456oUbGCBmZ,Versions of Me,64,False,184038,2022-04-12,['Anitta']
Versions of Me,album,9,3912zNANDuLatGYzGSobcE,Turn It Up,56,True,159606,2022-04-12,['Anitta']
Versions of Me,album,10,66wc7tEC6OapOuvRx1ncbD,Ur Baby (feat. Khalid),60,False,163249,2022-04-12,"['Anitta', 'Khalid']"
Versions of Me,album,11,0Ie2diJz1BjbGdln2Mcjlh,Girl From Rio,55,False,194421,2022-04-12,['Anitta']
Versions of Me,album,12,63IC8gaszSBCasV9THojiT,Faking Love (feat. Saweetie),62,True,148577,2022-04-12,"['Anitta', 'Saweetie']"
Versions of Me,album,13,71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra),80,True,176193,2022-04-12,"['Anitta', 'YG', 'Papatinho', 'MC Kevin o Chris', 'Mr. Catra']"
Versions of Me,album,14,4a3LvPpAj6ogH7qSuPr5H6,Me Gusta (with Cardi B & Myke Towers),59,False,180788,2022-04-12,"['Anitta', 'Myke Towers', 'Cardi B']"
Versions of Me,album,15,5AJfaxekTYEnZTijlvOuxk,"Love Me, Love Me",55,False,191928,2022-04-12,['Anitta']
Kisses,album,1,1U62BQhqoJK5j9SI03aBys,Atención,45,False,160000,2019-04-05,['Anitta']
Kisses,album,2,2eSnW4d3A4SyEVhVPmBffa,Banana,53,False,195619,2019-04-05,"['Anitta', 'Becky G']"
