,album,album_type,track_number,id_track,name,popularity,explicit,duration_ms,release_date,artists
101,Envolver,single,1,3IAfUEeaXRX9s9UdKOJrFI,Envolver,90,False,193805,2021-11-11,['Anitta']
12,Versions of Me,album,13,71fwkaKdNrxiZZbkzSqmFJ,Que Rabão (feat. Mr. Catra),80,True,176193,2022-04-12,"['Anitta', 'YG', 'Papatinho', 'MC Kevin o Chris', 'Mr. Catra']"
0,Versions of Me,album,1,3FkeNbs9Zeiqkr3WkbOiGp,Envolver,79,False,193805,2022-04-12,['Anitta']
98,Envolver Remix,single,1,4B7mXGdCLQFulSxPTIEjPu,Envolver Remix,76,False,182863,2022-02-17,"['Anitta', 'Justin Quiles']"
1,Versions of Me,album,2,3SWjpNMVUi5UXz096NbfPr,Gata (feat. Chencho Corleone),74,False,206277,2022-04-12,"['Anitta', 'Chencho Corleone']"
100,NO CHÃO NOVINHA,single,1,7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,74,False,136901,2021-12-09,"['Anitta', 'PEDRO SAMPAIO']"
99,Boys Don't Cry,single,1,35COLcFjvONwVv6jkG23gI,Boys Don't Cry,73,False,136011,2022-01-27,['Anitta']
102,Faking Love (feat. Saweetie),single,1,3V7jLMYvvg4BHi4tmDveNc,Faking Love (feat. Saweetie),67,True,148577,2021-10-14,"['Anitta', 'Saweetie']"
103,Faking Love (feat. Saweetie),single,1,3V7jLMYvvg4BHi4tmDveNc,Faking Love (feat. Saweetie),67,True,148577,2021-10-14,"['Anitta', 'Saweetie']"
96,"DANÇARINA (feat. Nicky Jam, MC Pedrinho) [Remix]",single,1,5QQKWOwPjG9vcDBTQ5Hv5Q,"DANÇARINA (feat. Nicky Jam, MC Pedrinho) - Remix",67,False,212000,2022-06-10,"['PEDRO SAMPAIO', 'Anitta', 'Dadju', 'Mc Pedrinho', 'Nicky Jam']"
130,Bellaquita (Remix),single,1,1Xnn1TPyr5h0hpRAT4B4EA,Bellaquita - Remix,66,True,304733,2019-11-22,"['Dalex', 'Lenny Tavárez', 'Anitta', 'Natti Natasha', 'Farruko', 'Justin Quiles']"
120,Me Gusta (with Cardi B & Myke Towers),single,1,7e1VoRlNumuEkXlITMHKLE,Me Gusta (with Cardi B & Myke Towers),64,False,180788,2020-09-18,"['Anitta', 'Myke Towers', 'Cardi B']"
119,Me Gusta (with Cardi B & Myke Towers),single,1,7e1VoRlNumuEkXlITMHKLE,Me Gusta (with Cardi B & Myke Towers),64,False,180788,2020-09-18,"['Anitta', 'Myke Towers', 'Cardi B']"
7,Versions of Me,album,8,2nkuIfizGlr456oUbGCBmZ,Versions of Me,64,False,184038,2022-04-12,['Anitta']
6,Versions of Me,album,7,5tQj2mfKL21L9mQ643z5zw,Boys Don't Cry,64,False,136011,2022-04-12,['Anitta']
2,Versions of Me,album,3,5JKvoSM8KY9Cski1UvGcpa,I'd Rather Have Sex,64,False,173255,2022-04-12,['Anitta']
123,Desce Pro Play (PA PA PA),single,1,4zGtfOglDBfVUypabBwIjQ,Desce Pro Play (PA PA PA),63,False,168507,2020-06-26,"['ZAAC', 'Anitta', 'Tyga']"
131,Combatchy (feat. MC Rebecca),single,1,2bPtwnrpFNEe8N7Q85kLHw,Combatchy (feat. MC Rebecca),62,False,157600,2019-11-20,"['Anitta', 'Lexa', 'Luísa Sonza', 'Rebecca']"
105,SexToU,single,1,0RMpa3qNoB6rlVyhRmwwVO,SexToU,62,False,175478,2021-07-15,"['Rennan da Penha', 'Anitta']"
11,Versions of Me,album,12,63IC8gaszSBCasV9THojiT,Faking Love (feat. Saweetie),62,True,148577,2022-04-12,"['Anitta', 'Saweetie']"
